facility_id,year,facility_name,facility_city,province,latitude,longitude,naics_code_6digit,naics_code_3digit,company_legal_name,company_trade_name,total_emissions_co2e,intensity_co2e_per_m_gdp,baseline_intensity_2015,carbon_price_nominal,carbon_price_real_2015,delta_price_real_2015,exposure_price_it,first_year,last_year,years_active,obs_count,is_continuous,is_entrant,is_exiter,province_code,green_patent_count,unique_patents,green_patent_stock,green_domains,green_patent_intensity,green_patents_per_tco2e
G10002,2012,Aciérie - ArcelorMittal Contrecoeur,CONTRECOEUR,Quebec,45.838,-73.2475,331110,331,Arcelormittal Montréal Inc.,ArcelorMittal Montréal Inc.,143554.5221,463.0309467302647,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,1.75,4.0,8.185709590063333,"Hydrogen: Electrolytic processes, Storage: Electrodes for batteries/fuel cells",5.702160733300461e-05,1.2190490236043912e-05
G10002,2013,Aciérie - ArcelorMittal Contrecoeur,CONTRECOEUR,Quebec,45.838,-73.2475,331110,331,Arcelormittal Montréal Inc.,ArcelorMittal Montréal Inc.,158037.8016,497.388225209534,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,2.8666666666666667,7.0,9.8245198182205,"Storage: Electrodes for batteries/fuel cells, Hydrogen: Electrolytic processes, Pollution: Gas filtration",6.216563201180659e-05,1.8139120119642735e-05
G10002,2014,Aciérie - ArcelorMittal Contrecoeur,CONTRECOEUR,Quebec,45.838,-73.2475,331110,331,Arcelormittal Montréal Inc.,ArcelorMittal Montréal Inc.,188354.1643,443.2643565278836,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,2.6666666666666665,7.0,11.017508512154093,"Hydrogen: Electrolytic processes, Pollution: Gas filtration",5.8493575404077715e-05,1.4157726093166427e-05
G10002,2015,Aciérie - ArcelorMittal Contrecoeur,CONTRECOEUR,Quebec,45.8205,-73.2636,331110,331,Arcelormittal Montréal Inc.,ArcelorMittal Montréal Inc.,186554.6736,437.2906343770175,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,1.4166666666666663,4.0,10.781548901997644,"Waste-to-agri: Organic fertilisers from waste, Hydrogen: Electrolytic processes, Pollution: Gas filtration",5.7792971325472296e-05,7.5938417372710956e-06
G10002,2016,Aciérie - ArcelorMittal Contrecoeur,CONTRECOEUR,Quebec,45.8205,-73.2636,331110,331,Arcelormittal Montréal Inc.,ArcelorMittal Montréal Inc.,175392.42,471.036336181861,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,0.5,1.0,9.664316566697996,Hydrogen: Electrolytic processes,5.5101107372245596e-05,2.8507503345925664e-06
G10002,2017,Aciérie - ArcelorMittal Contrecoeur,CONTRECOEUR,Quebec,45.82055,-73.26362,331110,331,Arcelormittal Produits Longs Canada S.E.N.C,ArcelorMittal Long Products Canada s.e.n.c,185489.31,452.2120999100619,437.2906343770175,0.0,0.0,0.0,0.0,2004,2017,14,14,True,False,True,Q1,0.5,1.0,8.714669081693296,Hydrogen: Electrolytic processes,4.6982055632711645e-05,2.6955731303329557e-06
G10003,2004,"Acme Compressor Station # 363, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,280699.8975,398.33187693204064,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2005,"Foothills Pipeline System, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,343574.9271,364.6171524937732,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2006,"Foothills Pipeline System, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,280618.2533,328.1945684831788,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2007,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,316392.8622,314.2556150703847,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2008,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,271389.0068,286.2213804091564,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2009,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,215436.5195,271.20205896327906,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2010,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,205136.6173,263.435221839202,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2011,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,264784.7664,271.40832087718854,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2012,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,244009.3572,268.81309600044966,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2013,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,274357.9567,343.17947019000866,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2014,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,233472.4727,323.7740783232895,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2015,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,249407.854,305.29437547916274,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2016,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,292851.98,318.1907162478322,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2017,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,292633.4011,322.61930273160874,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2018,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,387049.8373,338.6180087707708,305.29437547916274,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2019,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,418770.701,311.68009043723174,305.29437547916274,20.0,18.61764705882353,18.61764705882353,5683.862931715,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2020,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,289702.185,292.774645871835,305.29437547916274,30.0,27.72262773722628,27.72262773722628,8463.56232167781,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2021,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,301714.827,292.19736683586115,305.29437547916274,40.0,35.76271186440678,35.76271186440678,10918.154784085313,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2022,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,352655.0299,671.5829126275083,305.29437547916274,50.0,41.86507936507937,41.86507936507937,12781.173259147488,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10003,2023,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,,,486210,486,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,257499.354,643.7292145526145,305.29437547916274,65.0,52.38064926798218,52.38064926798218,15991.517605461682,2004,2023,20,20,True,False,False,A1,0.0,0.0,0.0,No green patents,0.0,0.0
G10004,2004,AES Kingston ULC,BATH,Ontario,,,221112,221,Kingston Cogen Limited Partnership,Kingston Cogen,212368.3999,1285.696741383693,353.9796366985973,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,O1,24.066666666666663,55.0,66.962678125,"Renewable: Wind power, Grid: Power supply/distribution, Power: Conversion for renewables/storage",0.00031531375739767014,0.0001133250835717516
G10004,2005,NPIF Kingston CoGen Inc.(formerly AES KingstonULC),BATH,Ontario,,,221112,221,Kingston Cogen Limited Partnership,Kingston Cogen,233326.7194,1362.6424194450694,353.9796366985973,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,O1,17.316666666666666,41.0,74.23494307291666,"Renewable: Hydropower machines, Renewable: Solar direct conversion, Grid: Power supply/distribution",0.00031815877437359907,7.421638940965056e-05
G10004,2006,NPIF Kingston CoGen Corp (formerly AES Kingston ULC),BATH,Ontario,,,221112,221,Kingston Cogen Limited Partnership,Kingston Cogen,236518.0208,1194.266670986496,353.9796366985973,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,O1,21.666666666666668,49.0,84.76636827864583,"Renewable: Hydropower machines, Grid: Power supply/distribution, Renewable: Wind power",0.00035839285307703633,9.160683229709602e-05
G10004,2007,NPIF Kingston CoGen Corp.,BATH,Ontario,,,221112,221,Kingston Cogen Limited Partnership,Kingston CoGen,229423.5006,1362.6013933194288,353.9796366985973,0.0,0.0,0.0,0.0,2004,2023,20,20,True,False,False,O1,20.9,46.0,92.95141303684896,"Grid: Power supply/distribution, Renewable: Wind power, Power: Conversion for renewables/storage",0.0004051520999102433,9.109790385614924e-05
