"Multifactor productivity, gross output, value-added, capital, labour and intermediate inputs at a detailed industry level c 1 2"
"Frequency: Annual"
"Table: 36-10-0217-01 (formerly CANSIM 383-0032)"
"Release date: 2025-04-07"
"Geography: Canada"
""
""

"Multifactor productivity and related variables","Multifactor productivity based on gross output 3",,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS)","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,
"Motion picture and sound recording industries (Terminated)","102.320t","98.699t","98.711t","100.022t","102.267t","100.000t","99.901t","95.843t","98.721t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Broadcasting, telecommunications, publishing industries and other information services (Terminated) 10","97.547t","98.358t","99.580t","99.892t","100.081t","100.000t","99.843t","101.319t","100.516t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Finance, insurance, real estate and renting and leasing 11","93.165","92.808","92.408","91.202","90.401","90.279","89.093","90.560","91.285","92.687","93.170","94.645","95.345","96.844","97.157","100.000","100.742","100.417","102.514","103.408"
"Professional, scientific and technical services","104.745","104.672","103.456","103.815","103.835","103.338","101.503","101.158","98.882","98.599","99.422","99.237","101.443","99.395","100.170","100.000","100.441","100.467","102.224","99.599"
"Administrative and support, waste management and remediation services","106.983","105.808","105.495","105.890","105.085","107.151","103.936","103.538","101.712","101.601","102.716","101.407","101.621","101.512","101.180","100.000","101.021","100.857","97.702","98.886"
"Administrative and support services (Terminated)","103.302t","99.709t","98.783t","99.992t","98.484t","100.000t","96.976t","98.530t","97.708t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Waste management and remediation services (Terminated)","95.986t","96.429t","101.834t","102.262t","98.530t","100.000t","101.306t","101.725t","104.908t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Educational services (except universities) 12","95.133","93.998","97.491","103.296","105.339","105.619","104.173","104.133","101.352","103.040","100.840","98.374","99.351","97.039","97.725","100.000","100.149","101.149","109.032","104.933"
"Health care and social assistance (except hospitals) 13","111.322","110.255","110.758","111.753","110.614","107.630","107.163","106.917","104.538","104.608","103.454","103.048","104.045","102.336","102.165","100.000","100.286","99.210","98.392","93.770"
"Arts, entertainment and recreation","105.320","102.495","102.831","104.254","104.357","104.431","102.244","102.629","100.201","100.110","100.556","98.753","99.971","98.305","97.773","100.000","98.084","99.607","90.730","96.404"
"Accommodation and food services","101.705","100.988","101.600","101.772","102.284","102.012","101.408","101.839","99.916","100.047","99.260","100.400","101.808","101.234","100.562","100.000","99.503","101.169","101.553","103.546"
"Other services (except public administration)","97.189","96.522","96.971","98.595","98.928","97.723","96.981","96.044","94.884","96.367","95.791","96.839","98.755","98.438","98.526","100.000","99.286","99.583","102.673","104.087"
"Repair and maintenance (Terminated)","95.829t","96.278t","96.557t","98.134t","98.735t","100.000t","99.768t","101.237t","99.837t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Religious, grant-making, civic, and professional and similar organizations (Terminated)","100.116t","100.734t","99.408t","99.742t","100.861t","100.000t","100.809t","100.541t","97.955t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Personal and laundry services and private households (Terminated) 14","100.785t","99.423t","99.056t","101.400t","101.315t","100.000t","98.432t","97.610t","96.057t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"

Symbol legend:
.., not available for a specific reference period


"Table Corrections:"
Date,Note
"2014-05-01","The scalar factor for Labour input - Hours worked, nominal Gross output, nominal Gross domestic product, Capital cost, Labour compensation, and Cost of intermediate inputs has been added."



Footnotes:
1,"This table replaces table 383-0022."
2,"The scalar factor for Labour input - Hours worked, nominal Gross output, nominal Gross domestic product, Capital cost, Labour compensation, and Cost of intermediate inputs has been added."
3,"Multifactor productivity based on gross output measures the efficiency with which all inputs including capital, labour and intermediate inputs are used in production. It is the ratio of real gross output to combined units of all inputs."
4,"This combines the North American Industry Classification System (NAICS) codes 111-112."
5,"This combines the North American Industry Classification System (NAICS) codes 2212-2213."
6,"This combines the North American Industry Classification System (NAICS) codes 313, 314."
7,"This combines the North American Industry Classification System (NAICS) codes 315, 316."
8,"This combines the North American Industry Classification System (NAICS) codes 481-483, 487."
9,"This combines the North American Industry Classification System (NAICS) codes 491-492."
10,"This combines the North American Industry Classification System (NAICS) codes 511,515,517,518,519."
11,"This excludes owner-occupied dwellings industry."
12,"This only includes privately-owned establishments. Publicly-owned establishments that provide education are included in the non-business sector."
13,"This only includes privately-owned establishments. Publicly-owned establishments that provide health services are included in the non-business sector."
14,"This combines the North American Industry Classification System (NAICS) codes 812, 814."



"How to cite: Statistics Canada. Table 36-10-0217-01  Multifactor productivity, gross output, value-added, capital, labour and intermediate inputs at a detailed industry level"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610021701
