outcome,sample,treatment,coef,se,p,ci_lo,ci_hi,N,firms,treated_firms
intensity_co2e_per_m_gdp,Non-switchers (no change of principal province 2004-2023),Fixed: principal province in 2018,-364.7809786380145,272.03872230406034,0.1799478422468649,-897.9670767542659,168.40511947823688,510,35,25
intensity_co2e_per_m_gdp,Non-switchers (no change of principal province 2004-2023),Fixed: modal province 2014-2018,-364.7809786380145,272.03872230406034,0.1799478422468649,-897.9670767542659,168.40511947823688,510,35,25
intensity_co2e_per_m_gdp,No switch from 2017 onward,Time-varying principal province (baseline),-293.0477282347802,184.54667326284638,0.11230152011744023,-654.7525612966401,68.65710482707965,627,43,28
intensity_co2e_per_m_gdp,No switch from 2017 onward,Fixed: principal province in 2018,-293.0477282347802,184.54667326284638,0.11230152011744023,-654.7525612966401,68.65710482707965,627,43,27
intensity_co2e_per_m_gdp,No switch from 2017 onward,Fixed: modal province 2014-2018,-293.0477282347802,184.54667326284638,0.11230152011744023,-654.7525612966401,68.65710482707965,627,43,27
ln_E,All 66 firms,Time-varying principal province (baseline),0.05346731669996779,0.16266986479462509,0.7423929930640344,-0.2653597596674975,0.37229439306743306,935,66,45
ln_E,All 66 firms,Fixed: principal province in 2018,0.01852148777785012,0.1631134629406473,0.909594748375697,-0.3011750249794274,0.3382180005351276,935,66,37
ln_E,All 66 firms,Fixed: modal province 2014-2018,0.07869589183236492,0.16773279329438956,0.6389451563567011,-0.2500543420509401,0.40744612571566996,935,66,36
ln_E,Non-switchers (no change of principal province 2004-2023),Time-varying principal province (baseline),-0.012405920214938443,0.17949368869644886,0.9448971326561466,-0.36420708551222236,0.33939524508234553,510,35,25
ln_E,Non-switchers (no change of principal province 2004-2023),Fixed: principal province in 2018,-0.012405920214938443,0.17949368869644886,0.9448971326561466,-0.36420708551222236,0.33939524508234553,510,35,25
ln_E,Non-switchers (no change of principal province 2004-2023),Fixed: modal province 2014-2018,-0.012405920214938443,0.17949368869644886,0.9448971326561466,-0.36420708551222236,0.33939524508234553,510,35,25
ln_E,No switch from 2017 onward,Time-varying principal province (baseline),-0.06761510663443565,0.17976109185439113,0.7068137714585189,-0.41994037249063876,0.28471015922176746,627,43,28
ln_E,No switch from 2017 onward,Fixed: principal province in 2018,-0.06761510663443565,0.17976109185439113,0.7068137714585189,-0.41994037249063876,0.28471015922176746,627,43,27
ln_E,No switch from 2017 onward,Fixed: modal province 2014-2018,-0.06761510663443565,0.17976109185439113,0.7068137714585189,-0.41994037249063876,0.28471015922176746,627,43,27
ln_I,All 66 firms,Time-varying principal province (baseline),-0.34618617484409253,0.19653181306208942,0.07815778308049273,-0.7313814502621463,0.039009100573961286,934,66,45
ln_I,All 66 firms,Fixed: principal province in 2018,-0.1091956963789256,0.22182289401101973,0.6225318616542808,-0.54396057958697,0.32556918682911873,934,66,37
ln_I,All 66 firms,Fixed: modal province 2014-2018,-0.05131955838339018,0.22067949976418524,0.816108954199821,-0.4838434300475086,0.38120431328072824,934,66,36
ln_I,Non-switchers (no change of principal province 2004-2023),Time-varying principal province (baseline),-0.14821594418512613,0.18702308079791133,0.42806871602919594,-0.5147744468267569,0.21834255845650463,510,35,25
ln_I,Non-switchers (no change of principal province 2004-2023),Fixed: principal province in 2018,-0.14821594418512613,0.18702308079791133,0.42806871602919594,-0.5147744468267569,0.21834255845650463,510,35,25
ln_I,Non-switchers (no change of principal province 2004-2023),Fixed: modal province 2014-2018,-0.14821594418512613,0.18702308079791133,0.42806871602919594,-0.5147744468267569,0.21834255845650463,510,35,25
ln_I,No switch from 2017 onward,Time-varying principal province (baseline),-0.3139396744249488,0.18484627367493758,0.08943559485220143,-0.6762317135042608,0.048352364654363156,626,43,28
ln_I,No switch from 2017 onward,Fixed: principal province in 2018,-0.3139396744249488,0.18484627367493758,0.08943559485220143,-0.6762317135042608,0.048352364654363156,626,43,27
ln_I,No switch from 2017 onward,Fixed: modal province 2014-2018,-0.3139396744249488,0.18484627367493758,0.08943559485220143,-0.6762317135042608,0.048352364654363156,626,43,27
ln_Y,All 66 firms,Time-varying principal province (baseline),0.3999236689203427,0.1601377822231428,0.012511750379453995,0.0860593831988643,0.7137879546418211,934,66,45
ln_Y,All 66 firms,Fixed: principal province in 2018,0.12794051635393183,0.1694000272693965,0.45009493562281166,-0.20407743607418838,0.45995846878205204,934,66,37
ln_Y,All 66 firms,Fixed: modal province 2014-2018,0.13032368619583773,0.16992711634296284,0.44311794710938746,-0.20272734183311708,0.46337471422479254,934,66,36
ln_Y,Non-switchers (no change of principal province 2004-2023),Time-varying principal province (baseline),0.13581002397018732,0.05690840431164956,0.017011138019676665,0.024271601101710255,0.2473484468386644,510,35,25
ln_Y,Non-switchers (no change of principal province 2004-2023),Fixed: principal province in 2018,0.13581002397018732,0.05690840431164956,0.017011138019676665,0.024271601101710255,0.2473484468386644,510,35,25
ln_Y,Non-switchers (no change of principal province 2004-2023),Fixed: modal province 2014-2018,0.13581002397018732,0.05690840431164956,0.017011138019676665,0.024271601101710255,0.2473484468386644,510,35,25
ln_Y,No switch from 2017 onward,Time-varying principal province (baseline),0.24651490781009627,0.06317707144641221,9.54137942307691e-05,0.12269012312641452,0.370339692493778,626,43,28
ln_Y,No switch from 2017 onward,Fixed: principal province in 2018,0.24651490781009627,0.06317707144641221,9.54137942307691e-05,0.12269012312641452,0.370339692493778,626,43,27
ln_Y,No switch from 2017 onward,Fixed: modal province 2014-2018,0.24651490781009627,0.06317707144641221,9.54137942307691e-05,0.12269012312641452,0.370339692493778,626,43,27
