outcome,k,year,coef,se,p,ci_lo,ci_hi
ln_I,-2,2017,-0.4832643378955524,0.24971123054526495,0.05295437963339242,-0.97268935629945,0.006160680508345173
ln_I,0,2019,-0.7491498640523837,0.260542391314533,0.004035832933530349,-1.2598035674748098,-0.2384961606299576
ln_I,1,2020,-0.6748513215846119,0.2763097729680603,0.014591092759619003,-1.216408525178449,-0.13329411799077473
ln_I,2,2021,-0.6678304749088926,0.2664929421581391,0.012210670594851845,-1.190147043672961,-0.14551390614482407
ln_I,3,2022,-0.6268313573560473,0.3111748623474724,0.043967313442742725,-1.2367228804513022,-0.016939834260792486
ln_I,4,2023,-0.45034021423458526,0.32468208462629805,0.16543597498639984,-1.0867054065275155,0.18602497805834495
ln_Y,-7,<=2012,0.7545529292884667,0.2508483629695769,0.0026296950394670317,0.262899172287265,1.2462066862896686
ln_Y,-6,2013,0.797877691039829,0.22608896724147234,0.00041706533064312783,0.3547514579446871,1.2410039241349708
ln_Y,-5,2014,0.7221978489842966,0.24013017253451513,0.002633831902052669,0.2515513592152577,1.1928443387533356
ln_Y,-4,2015,0.9073682344727173,0.2281375271116821,6.97062535054938e-05,0.46022689781179027,1.3545095711336443
ln_Y,-3,2016,0.891163319058088,0.2935315235830776,0.0023973499387538854,0.3158521045080863,1.4664745336080895
ln_Y,-2,2017,0.5832502017081238,0.23510711065543946,0.013109340530539144,0.12244873231418929,1.0440516711020584
ln_Y,0,2019,0.8266727364807321,0.2363822347899094,0.00047019317247310285,0.3633720697074187,1.2899734032540455
ln_Y,1,2020,0.7984417473026142,0.2372756191793625,0.0007653279956098486,0.3333900793016224,1.263493415303606
ln_Y,2,2021,0.8943505359877282,0.2741020971155189,0.0011030283998334277,0.3571202975544109,1.4315807744210454
ln_Y,3,2022,0.9079912525279493,0.29749138878880077,0.002272011242560698,0.324918844791097,1.4910636602648015
ln_Y,4,2023,0.8197438887265986,0.2743459259850715,0.002808153754712324,0.28203575449056717,1.3574520229626301
