coef,se,p,ci_lo,ci_hi,N,firms,outcome,spec,sig
-0.3384495554369524,0.19817523863839143,0.08766794920515263,-0.7268658857958301,0.04996677492192536,934,66,ln_I,+ 2018 patent stock (ln) x year FE,*
-0.3793753016657061,0.1877595176956637,0.043327578813762944,-0.7473771941038179,-0.011373409227594278,934,66,ln_I,+ 2018 facility count x year FE,**
-0.30893773111126277,0.20393112656183784,0.1297946658052943,-0.7086353944991446,0.090759932276619,934,66,ln_I,+ 2018 sector intensity x year FE,
-0.4029952725570931,0.194752181145758,0.038520551697891904,-0.7847025335133994,-0.02128801160078686,934,66,ln_I,+ NAICS-3 x year FE,**
0.07548157876806974,0.2235218231019576,0.7355951446396174,-0.3626131442705002,0.5135763018066396,934,66,ln_I,+ province linear trends,
-0.5112269894280957,0.18511198382174987,0.005749822004373178,-0.8740398108254867,-0.14841416803070484,934,66,ln_I,+ all firm characteristics x year FE + NAICS x year FE,***
0.3999236689203427,0.1601377822231428,0.012511750379453995,0.0860593831988643,0.7137879546418211,934,66,ln_Y,Baseline (firm + year FE),**
0.467939427310551,0.17497725709280865,0.007488830181127982,0.12499030529504035,0.8108885493260616,934,66,ln_Y,+ 2018 size (ln emissions) x year FE,***
0.4109920831430415,0.15812040994335033,0.009343182215245929,0.1010817744333658,0.7209023918527171,934,66,ln_Y,+ 2018 patent stock (ln) x year FE,***
0.3977117253635324,0.1660067950070493,0.01658614098402544,0.07234438596079212,0.7230790647662726,934,66,ln_Y,+ 2018 facility count x year FE,**
0.4290058039907043,0.1696759484934733,0.011458923300934561,0.09644705590082336,0.7615645520805853,934,66,ln_Y,+ 2018 sector intensity x year FE,**
0.27267423736393837,0.17467527499270863,0.11851546668791894,-0.06968301061140048,0.6150314853392772,934,66,ln_Y,+ NAICS-3 x year FE,
-0.10143920989145701,0.1609504046359451,0.5285301471532025,-0.4168962062750579,0.21401778649214392,934,66,ln_Y,+ province linear trends,
0.22020806700272444,0.16790080121552498,0.18967649449945212,-0.10887145635512346,0.5492875903605723,934,66,ln_Y,+ all firm characteristics x year FE + NAICS x year FE,
