company_id,company_name,year,province,naics_code_3digit,multi_province_dummy,total_emissions_co2e,intensity_co2e_per_m_gdp,ln_emissions,emissions_squared,high_emitter,green_patent_count,unique_patents,green_patent_intensity,has_green_patents,ln_green_patents,cfd_participant,cfd_type,exposure_cfd_it,carbon_price_real_2015,exposure_price_it,num_facilities,company_age,emissions_growth_pct,year_fe,province_fe,naics_fe,ln_emissions_2018,intensity_2018,sample_50kt_baseline,sample_any_year_50kt,sample_all_years_50kt,green_patent_stock,naics_2digit,gdp_million_statcan,intensity_statcan,gdp_ind_prov_year,emission_share,naics_3digit_statcan,gdp_3digit_prov_year,gdp_million_final,gdp_source,naics_3digit,deflator_index,source,gdp_defl_rebased,gdp_real_million_v2,intensity_real_v2
PENN WEST PETROLEUM LTD,Penn West Petroleum Ltd,2005,British Columbia,211,1,218940.7974,370.5294932302716,12.29656120817998,47935072766.14785,0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,1,1,-15.36272520195765,2005,British Columbia,211,,,,1,1,0.0,21,351.94431058637804,622.0893215611882,9910.4,0.0355126241712118,211,2408.9,2408.9,3digit,,84.0909090909091,GDP_DEFLATOR,84.0909090909091,2864.6378378378377,76.42878778884365
PENN WEST PETROLEUM LTD,Penn West Petroleum Ltd,2006,British Columbia,211,1,197039.2016,346.26703931821595,12.191163055936403,38824446967.16544,0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,1,2,-10.00343291889372,2006,British Columbia,211,,,,1,1,0.0,21,361.4228247495804,545.1764197142858,9940.0,0.036360445145833,211,2504.3,2504.3,3digit,,86.2603305785124,GDP_DEFLATOR,86.2603305785124,2903.188502994012,67.86993038750208
PENN WEST PETROLEUM LTD,Penn West Petroleum Ltd,2007,British Columbia,211,1,147379.3982,151.76258625316257,11.90077226617648,21720687013.794163,0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,1,3,-25.20300681120908,2007,British Columbia,211,,,,1,1,0.0,21,223.46106281852616,659.5305523973433,8657.5,0.0258112691676033,211,2335.4,2335.4,3digit,,89.04958677685951,GDP_DEFLATOR,89.04958677685951,2622.583758700696,56.19625978047543
PENN WEST PETROLEUM LTD,Penn West Petroleum Ltd,2008,British Columbia,211,1,156990.9481,151.17716982669614,11.963949797028013,24646157785.33689,0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,1,4,6.521637364102095,2008,British Columbia,211,,,,1,1,0.0,21,221.03662785739675,710.2485665917948,8904.1,0.0248241403238279,211,2238.7,2238.7,3digit,,92.66528925619836,GDP_DEFLATOR,92.66528925619836,2415.899219620958,64.98240772006669
PENN WEST PETROLEUM LTD,Penn West Petroleum Ltd,2009,Alberta,211,1,267907.24399,328.9946264654829,12.498399827698275,71774291382.31738,0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,3,5,70.65139565839718,2009,Alberta,211,,,,1,1,0.0,21,186.6414390152888,1435.4113716839397,40015.1,0.0046642752114898,211,30337.1,30337.1,3digit,,90.49586776859503,GDP_DEFLATOR,90.49586776859503,33523.188127853886,7.991699446014208
PENN WEST PETROLEUM LTD,Penn West Petroleum Ltd,2011,Manitoba,211,1,56456.81862,14.459453014630329,10.941249065212707,3187372368.6915784,0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,7,-78.92672934886848,2011,Manitoba,211,,,,1,1,0.0,21,1778.2,31.7494199865032,1778.2,1.0,211,783.6,783.6,3digit,,96.07438016528927,GDP_DEFLATOR,96.07438016528927,815.6180645161289,69.21967655718048
PENN WEST PETROLEUM LTD,Penn West Petroleum Ltd,2012,British Columbia,211,1,198382.76747,251.3468265662856,12.1979586532982,39355722429.05608,0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,2,8,251.3884988902338,2012,British Columbia,211,,,,1,1,0.0,21,239.33826752105423,828.880268603718,9445.8,0.0253380621568373,211,2433.8,2433.8,3digit,,97.21074380165288,GDP_DEFLATOR,97.21074380165288,2503.6327311370887,79.23796689616667
PENN WEST PETROLEUM LTD,Penn West Petroleum Ltd,2013,British Columbia,211,1,203437.33594,250.9857533239513,12.223118220451852,41386749654.36441,0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,2,9,2.547886862584648,2013,British Columbia,211,,,,1,1,0.0,21,235.7567679477388,862.911965204311,9705.8,0.0242902973425929,211,2540.5,2540.5,3digit,,98.96694214876032,GDP_DEFLATOR,98.96694214876032,2567.01878914405,79.25042730514426
PENN WEST PETROLEUM LTD,Penn West Petroleum Ltd,2014,British Columbia,211,1,109727.5755,298.88711674556174,11.605765100036002,12040140825.108202,0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,1,10,-46.06320664149766,2014,British Columbia,211,,,,1,1,0.0,21,134.36957697148867,816.6102623310531,10276.9,0.013074913346582,211,2708.1,2708.1,3digit,,100.82644628099173,GDP_DEFLATOR,100.82644628099173,2685.9024590163935,40.85314979762274
PENN WEST PETROLEUM LTD,Penn West Petroleum Ltd,2015,British Columbia,211,1,100507.8972,408.10288434226544,11.51800153191601,10101837399.56577,0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,1,11,-8.402334835148162,2015,British Columbia,211,,,,1,1,0.0,21,130.68838470303515,769.0652648924031,9953.8,0.0131294967452666,211,2773.4,2773.4,3digit,,100.0,GDP_DEFLATOR,100.0,2773.4,36.23995716449124
PENN WEST PETROLEUM LTD,Penn West Petroleum Ltd,2016,British Columbia,211,1,97992.93436,330.2693171403688,11.492660861451464,9602615184.483269,0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,1,12,-2.5022539621891604,2016,British Columbia,211,,,,1,1,0.0,21,141.8837060238349,690.6567153210551,10213.2,0.0138921891301291,211,3062.3,3062.3,3digit,,100.72314049586777,GDP_DEFLATOR,100.72314049586777,3040.314256410257,32.23118602078381
PEPSICO,Pepsico,2021,Ontario,311,0,22984.85,17.486925041168725,10.04263408819611,528303329.5224999,0,0.0,0.0,0.0,0,0.0,0,No,0,35.76271186440678,245.442076223814,1,0,,2021,Ontario,311,,,,0,0,0.0,31,,,,0.0252496315719796,311,11680.9,11680.9,3digit,311.0,116.98146358604934,IPPI,116.21900826446281,9985.257186842897,2.301878616635539
PEPSICO CANADA ULC,Pepsico Canada Ulc,2017,Ontario,311,1,30373.817000000003,15.64590352843843,10.321369155933343,922568759.1494892,0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,2,0,,2017,Ontario,311,10.425626043826997,17.18746571826964,0.0,0,0,0.0,31,,,,0.0381630027806537,311,10582.6,10582.6,3digit,311.0,101.2562593340947,IPPI,103.30578512396696,10451.304511539129,2.9062225645099833
