company_id,company_name,year,province,naics_code_3digit,multi_province_dummy,total_emissions_co2e,intensity_co2e_per_m_gdp,ln_emissions,emissions_squared,high_emitter,green_patent_stock,green_patent_count,unique_patents,green_patent_intensity,has_green_patents,ln_green_patents,cfd_participant,cfd_type,exposure_cfd_it,carbon_price_real_2015,exposure_price_it,num_facilities,company_age,emissions_growth_pct,year_fe,province_fe,naics_fe
2333281 ONTARIO LTD,2333281 Ontario Ltd.,2020,Ontario,111,0,29834.4,70.62269731215788,10.303450886938538,890091423.3600001,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,3,-2.877090088966816,2020,Ontario,111
2333281 ONTARIO LTD,2333281 Ontario Ltd.,2021,Ontario,111,0,29728.2665,71.10554274043585,10.299887243639347,883769829.0950223,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,4,-0.3557420293352598,2021,Ontario,111
2333281 ONTARIO LTD,2333281 Ontario Ltd.,2022,Ontario,111,0,32725.5437,141.16147000858854,10.395941761552479,1070961210.4606096,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,5,10.08224680709182,2022,Ontario,111
2333281 ONTARIO LTD,2333281 Ontario Ltd.,2023,Ontario,111,0,28212.6807,136.84909339861147,10.24756227049378,795955352.2801526,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,6,-13.790032157662813,2023,Ontario,111
2492309 ONTARIO LTD,2492309 Ontario Ltd,2020,Ontario,111,0,15683.99,70.62269731215787,9.660459483072774,245987542.32009998,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,0,,2020,Ontario,111
2492309 ONTARIO LTD,2492309 Ontario Ltd,2021,Ontario,111,0,25094.36302,71.10554274043585,10.130438367814252,629727055.3795435,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,1,59.999866233018516,2021,Ontario,111
2492309 ONTARIO LTD,2492309 Ontario Ltd,2022,Ontario,111,0,24464.69,141.16147000858854,10.105027006881611,598521056.7960999,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,2,-2.509220973244697,2022,Ontario,111
2492309 ONTARIO LTD,2492309 Ontario Ltd,2023,Ontario,111,0,23541.12,136.84909339861147,10.066546436232393,554184330.8543999,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,,,1,3,-3.775114256506007,2023,Ontario,111
3313045 NOVA SCOTIA COMPANY,3313045 Nova Scotia Company,2018,Quebec,326,0,332440.6578,43.08906975522621,12.714219658419058,110516790958.49669,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,0.0,0.0,1,0,,2018,Quebec,326
3313045 NOVA SCOTIA COMPANY,3313045 Nova Scotia Company,2019,Quebec,326,0,297928.1801,42.5210580430516,12.604611086573005,88761200497.69803,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,18.61764705882353,803.6206194706341,1,1,-10.381545364635603,2019,Quebec,326
3313045 NOVA SCOTIA COMPANY,3313045 Nova Scotia Company,2020,Quebec,326,0,246585.7326,38.952973780091966,12.415469066967391,60804523521.8787,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,27.72262773722628,1196.6321632993383,1,2,-17.23316253023358,2020,Quebec,326
3313045 NOVA SCOTIA COMPANY,3313045 Nova Scotia Company,2021,Quebec,326,0,197294.4307,31.16966081482052,12.192457532594025,38925092385.2371,0,0.0,0.0,0.0,0.0,0,0.0,0,No,0,35.76271186440678,1543.6780261017832,1,3,-19.989519012423184,2021,Quebec,326
